MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR287;CONJUNCTIVE_EXTEND;Test-13;8;3;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[input];[];[];[language, tag, vrSupport];[];[];[playArea];[];[];[];[];[];[];[];[];[];[];[]
MR361;CONJUNCTIVE_EXTEND;Test-16;11;2;3;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[language, os];[];[];[feature];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR223;CONJUNCTIVE_EXTEND;Test-10;9;1;5;[term, sortBy, specialOffers, tag, numberOfPlayers, vrSupport, headsets, input, language];[feature, os, playArea, price, selectedTypes];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR333;CONJUNCTIVE_EXTEND;Test-15;8;1;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[headsets, language, os, price, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR157;CONJUNCTIVE_CONTRACT;Test-08;11;2;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[];[numberOfPlayers];[];[];[headsets, os, playArea, price, selectedTypes, tag, term, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR305;CONJUNCTIVE_CONTRACT;Test-14;9;2;7;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[];[feature, language, os, playArea, vrSupport];[];[];[selectedTypes, term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR254;CONJUNCTIVE_CONTRACT;Test-12;9;2;7;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[];[numberOfPlayers, os, selectedTypes, vrSupport];[];[];[feature, price, tag];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR321;DISJOINT_EXTEND;Test-14;9;4;4;[term, sortBy, specialOffers, selectedTypes:downloableContent, feature, vrSupport, playArea, os, language];[];[];[selectedTypes:games];[];[];[selectedTypes:software];[];[];[selectedTypes:demos];[];[];[selectedTypes:soundtracks];[];[];[];[];[];[]
MR367;CONJUNCTIVE_CONTRACT;Test-17;6;2;5;[term, specialOffers, feature, vrSupport, os, language];[];[feature, os, vrSupport];[];[];[language, term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR299;CONJUNCTIVE_CONTRACT;Test-14;9;1;7;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[];[feature, language, os, playArea, selectedTypes, term, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR7;CONJUNCTIVE_CONTRACT;Test-01;8;3;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[price, term, vrSupport];[];[];[language];[];[];[feature, headsets];[];[];[];[];[];[];[];[];[];[]
MR158;CONJUNCTIVE_CONTRACT;Test-08;11;5;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[];[playArea, selectedTypes, tag, vrSupport];[];[];[price, term];[];[];[headsets];[];[];[numberOfPlayers];[];[];[os];[];[];[];[]
MR338;CONJUNCTIVE_EXTEND;Test-15;8;4;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[headsets];[];[];[os, selectedTypes, tag];[];[];[price];[];[];[language];[];[];[];[];[];[];[];[]
MR383;CONJUNCTIVE_EXTEND;Test-17;6;3;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, input, numberOfPlayers, selectedTypes, tag];[];[];[playArea];[];[];[price];[];[];[];[];[];[];[];[];[];[];[]
MR380;CONJUNCTIVE_EXTEND;Test-17;6;2;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, input, price, selectedTypes, tag];[];[];[numberOfPlayers, playArea];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR340;CONJUNCTIVE_EXTEND;Test-15;8;2;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[headsets];[];[];[language, os, price, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR54;CONJUNCTIVE_CONTRACT;Test-03;11;4;10;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[];[headsets, playArea, term];[];[];[feature, selectedTypes, vrSupport];[];[];[language, numberOfPlayers];[];[];[input, tag];[];[];[];[];[];[];[]
MR41;CONJUNCTIVE_EXTEND;Test-02;8;2;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[headsets, term];[];[];[feature, language, price, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR178;CONJUNCTIVE_CONTRACT;Test-09;9;3;7;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[];[price, tag, term];[];[];[playArea, selectedTypes];[];[];[input, os];[];[];[];[];[];[];[];[];[];[]
MR17;CONJUNCTIVE_EXTEND;Test-01;8;4;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[os, selectedTypes];[];[];[numberOfPlayers, playArea];[];[];[input];[];[];[tag];[];[];[];[];[];[];[];[]
MR2;CONJUNCTIVE_CONTRACT;Test-01;8;3;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[feature, headsets, vrSupport];[];[];[language, term];[];[];[price];[];[];[];[];[];[];[];[];[];[]
MR190;CONJUNCTIVE_EXTEND;Test-09;9;2;5;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[headsets, language, vrSupport];[];[];[feature, numberOfPlayers];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR140;CONJUNCTIVE_CONTRACT;Test-07;7;2;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[];[language, selectedTypes];[];[];[feature, price, tag, term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR27;CONJUNCTIVE_CONTRACT;Test-02;8;2;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[input, os, selectedTypes, tag];[];[];[numberOfPlayers, playArea];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR76;CONJUNCTIVE_EXTEND;Test-04;6;2;8;[sortBy, price, specialOffers, tag, numberOfPlayers, feature];[headsets, input, language, os, playArea, term, vrSupport];[];[];[selectedTypes];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR103;CONJUNCTIVE_EXTEND;Test-05;7;2;6;[price, specialOffers, selectedTypes, numberOfPlayers, vrSupport, os, language];[feature, playArea, tag, term];[];[];[headsets, input];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR32;CONJUNCTIVE_CONTRACT;Test-02;8;2;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[input, numberOfPlayers, os, selectedTypes];[];[];[playArea, tag];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR375;CONJUNCTIVE_EXTEND;Test-17;6;4;7;[term, specialOffers, feature, vrSupport, os, language];[input];[];[];[numberOfPlayers, playArea, price, tag];[];[];[headsets];[];[];[selectedTypes];[];[];[];[];[];[];[];[]
MR3;CONJUNCTIVE_CONTRACT;Test-01;8;2;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[language, price, term, vrSupport];[];[];[feature, headsets];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR46;DISJOINT_EXTEND;Test-02;8;4;4;[sortBy, specialOffers, tag, selectedTypes:downloableContent, numberOfPlayers, input, playArea, os];[];[];[selectedTypes:games];[];[];[selectedTypes:software];[];[];[selectedTypes:demos];[];[];[selectedTypes:soundtracks];[];[];[];[];[];[]
MR124;CONJUNCTIVE_EXTEND;Test-06;10;3;4;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[tag];[];[];[language];[];[];[selectedTypes, vrSupport];[];[];[];[];[];[];[];[];[];[];[]
MR275;CONJUNCTIVE_CONTRACT;Test-13;8;4;7;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[];[price];[];[];[feature, headsets];[];[];[selectedTypes, term];[];[];[numberOfPlayers, os];[];[];[];[];[];[];[]
MR245;SHUFFLING_CONTRACT;Test-11;10;1;1;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[];[sortBy];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR162;CONJUNCTIVE_CONTRACT;Test-08;11;2;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[];[headsets, numberOfPlayers, os, playArea, price, selectedTypes, tag, term];[];[];[vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR136;CONJUNCTIVE_CONTRACT;Test-07;7;3;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[];[language, price, selectedTypes, term];[];[];[tag];[];[];[feature];[];[];[];[];[];[];[];[];[];[]
MR113;CONJUNCTIVE_CONTRACT;Test-06;10;3;8;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[];[feature, input, numberOfPlayers, playArea, term];[];[];[headsets, price];[];[];[os];[];[];[];[];[];[];[];[];[];[]
MR153;CONJUNCTIVE_EXTEND;Test-07;7;3;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[os];[];[];[headsets];[];[];[input, numberOfPlayers, playArea, vrSupport];[];[];[];[];[];[];[];[];[];[];[]
MR49;CONJUNCTIVE_CONTRACT;Test-03;11;3;10;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[];[headsets, selectedTypes, tag];[];[];[feature, input, term, vrSupport];[];[];[language, numberOfPlayers, playArea];[];[];[];[];[];[];[];[];[];[]
MR241;CONJUNCTIVE_EXTEND;Test-11;10;2;4;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[numberOfPlayers, term, vrSupport];[];[];[language];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR310;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[headsets, input, numberOfPlayers, price];[];[];[tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR272;DISJOINT_EXTEND;Test-12;9;1;1;[sortBy, price, specialOffers, tag, selectedTypes:games, numberOfPlayers, feature, vrSupport, os];[];[];[selectedTypes:software];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR266;CONJUNCTIVE_EXTEND;Test-12;9;2;5;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[headsets, input, term];[];[];[language, playArea];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR315;CONJUNCTIVE_EXTEND;Test-14;9;3;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[input];[];[];[headsets, numberOfPlayers, price];[];[];[tag];[];[];[];[];[];[];[];[];[];[];[]
MR8;CONJUNCTIVE_CONTRACT;Test-01;8;2;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[language, term];[];[];[feature, headsets, price, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR316;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[headsets, input, price, tag];[];[];[numberOfPlayers];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR12;CONJUNCTIVE_EXTEND;Test-01;8;2;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[numberOfPlayers];[];[];[input, os, playArea, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR122;CONJUNCTIVE_EXTEND;Test-06;10;2;4;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[language, selectedTypes, vrSupport];[];[];[tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR251;CONJUNCTIVE_CONTRACT;Test-12;9;1;7;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[];[feature, numberOfPlayers, os, price, selectedTypes, tag, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR231;CONJUNCTIVE_CONTRACT;Test-11;10;3;8;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[];[headsets, tag];[];[];[feature, input, os, playArea, price];[];[];[selectedTypes];[];[];[];[];[];[];[];[];[];[]
MR165;CONJUNCTIVE_CONTRACT;Test-08;11;3;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[];[numberOfPlayers, term, vrSupport];[];[];[headsets, os, playArea, price, tag];[];[];[selectedTypes];[];[];[];[];[];[];[];[];[];[]
MR378;CONJUNCTIVE_EXTEND;Test-17;6;4;7;[term, specialOffers, feature, vrSupport, os, language];[playArea, price, selectedTypes, tag];[];[];[headsets];[];[];[numberOfPlayers];[];[];[input];[];[];[];[];[];[];[];[]
MR57;CONJUNCTIVE_CONTRACT;Test-03;11;5;10;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[];[input, selectedTypes, vrSupport];[];[];[feature, playArea, tag, term];[];[];[language];[];[];[numberOfPlayers];[];[];[headsets];[];[];[];[]
MR328;CONJUNCTIVE_CONTRACT;Test-15;8;2;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[];[feature, input, playArea, term, vrSupport];[];[];[numberOfPlayers];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR317;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[input, numberOfPlayers, price, tag];[];[];[headsets];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR384;CONJUNCTIVE_EXTEND;Test-17;6;3;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, playArea, price];[];[];[tag];[];[];[input, numberOfPlayers, selectedTypes];[];[];[];[];[];[];[];[];[];[];[]
MR240;CONJUNCTIVE_EXTEND;Test-11;10;3;4;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[vrSupport];[];[];[numberOfPlayers, term];[];[];[language];[];[];[];[];[];[];[];[];[];[];[]
MR177;CONJUNCTIVE_CONTRACT;Test-09;9;2;7;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[];[input, os, selectedTypes, tag, term];[];[];[playArea, price];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR284;CONJUNCTIVE_CONTRACT;Test-13;8;3;7;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[];[numberOfPlayers, os, selectedTypes, term];[];[];[price];[];[];[feature, headsets];[];[];[];[];[];[];[];[];[];[]
MR123;CONJUNCTIVE_EXTEND;Test-06;10;4;4;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[selectedTypes];[];[];[language];[];[];[tag];[];[];[vrSupport];[];[];[];[];[];[];[];[]
MR191;CONJUNCTIVE_EXTEND;Test-09;9;2;5;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[feature, language, vrSupport];[];[];[headsets, numberOfPlayers];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR25;CONJUNCTIVE_CONTRACT;Test-02;8;3;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[os];[];[];[playArea, selectedTypes, tag];[];[];[input, numberOfPlayers];[];[];[];[];[];[];[];[];[];[]
MR70;CONJUNCTIVE_CONTRACT;Test-04;6;3;4;[sortBy, price, specialOffers, tag, numberOfPlayers, feature];[];[numberOfPlayers];[];[];[price, tag];[];[];[feature];[];[];[];[];[];[];[];[];[];[]
MR357;CONJUNCTIVE_CONTRACT;Test-16;11;3;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[];[playArea, price, selectedTypes, tag];[];[];[headsets];[];[];[input, numberOfPlayers, term, vrSupport];[];[];[];[];[];[];[];[];[];[]
MR342;CONJUNCTIVE_EXTEND;Test-15;8;2;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[language, os, selectedTypes, tag];[];[];[headsets, price];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR302;CONJUNCTIVE_CONTRACT;Test-14;9;2;7;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[];[feature, language, os, playArea, selectedTypes, vrSupport];[];[];[term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR252;CONJUNCTIVE_CONTRACT;Test-12;9;3;7;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[];[os, price, selectedTypes, tag, vrSupport];[];[];[feature];[];[];[numberOfPlayers];[];[];[];[];[];[];[];[];[];[]
MR259;CONJUNCTIVE_CONTRACT;Test-12;9;2;7;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[];[feature, numberOfPlayers, tag];[];[];[os, price, selectedTypes, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR101;CONJUNCTIVE_EXTEND;Test-05;7;2;6;[price, specialOffers, selectedTypes, numberOfPlayers, vrSupport, os, language];[feature, headsets, input, playArea, term];[];[];[tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR353;CONJUNCTIVE_CONTRACT;Test-16;11;3;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[];[numberOfPlayers, playArea, price, tag, term];[];[];[input, selectedTypes, vrSupport];[];[];[headsets];[];[];[];[];[];[];[];[];[];[]
MR291;CONJUNCTIVE_EXTEND;Test-13;8;2;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[input, language, vrSupport];[];[];[playArea, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR26;CONJUNCTIVE_CONTRACT;Test-02;8;1;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[input, numberOfPlayers, os, playArea, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR285;CONJUNCTIVE_CONTRACT;Test-13;8;2;7;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[];[price, selectedTypes];[];[];[feature, headsets, numberOfPlayers, os, term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR29;CONJUNCTIVE_CONTRACT;Test-02;8;2;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[input, numberOfPlayers, os, playArea, tag];[];[];[selectedTypes];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR149;CONJUNCTIVE_EXTEND;Test-07;7;2;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[headsets, input, os, playArea];[];[];[numberOfPlayers, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR368;CONJUNCTIVE_CONTRACT;Test-17;6;4;5;[term, specialOffers, feature, vrSupport, os, language];[];[os];[];[];[language, vrSupport];[];[];[feature];[];[];[term];[];[];[];[];[];[];[]
MR144;CONJUNCTIVE_EXTEND;Test-07;7;2;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[headsets, numberOfPlayers, playArea, vrSupport];[];[];[input, os];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR279;CONJUNCTIVE_CONTRACT;Test-13;8;2;7;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[];[feature, headsets, os, term];[];[];[numberOfPlayers, price, selectedTypes];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR121;CONJUNCTIVE_EXTEND;Test-06;10;1;4;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[language, selectedTypes, tag, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR221;CONJUNCTIVE_EXTEND;Test-10;9;3;5;[term, sortBy, specialOffers, tag, numberOfPlayers, vrSupport, headsets, input, language];[feature, os];[];[];[price];[];[];[playArea, selectedTypes];[];[];[];[];[];[];[];[];[];[];[]
MR311;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[input];[];[];[headsets, numberOfPlayers, price, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR377;CONJUNCTIVE_EXTEND;Test-17;6;1;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, input, numberOfPlayers, playArea, price, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR167;CONJUNCTIVE_CONTRACT;Test-08;11;1;9;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[];[headsets, numberOfPlayers, os, playArea, price, selectedTypes, tag, term, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR262;CONJUNCTIVE_EXTEND;Test-12;9;3;5;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[headsets, input, playArea];[];[];[term];[];[];[language];[];[];[];[];[];[];[];[];[];[];[]
MR207;CONJUNCTIVE_CONTRACT;Test-10;9;4;7;[term, sortBy, specialOffers, tag, numberOfPlayers, vrSupport, headsets, input, language];[];[headsets, input, term];[];[];[tag];[];[];[numberOfPlayers];[];[];[language, vrSupport];[];[];[];[];[];[];[]
MR246;SHUFFLING_EXTEND;Test-11;10;5;5;[sortBy:lowestPrice, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[];[];[sortBy:relevance];[];[];[sortBy:releaseDate];[];[];[sortBy:name];[];[];[sortBy:highestPrice];[];[];[sortBy:userReviews];[];[];[]
MR4;CONJUNCTIVE_CONTRACT;Test-01;8;2;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[vrSupport];[];[];[feature, headsets, language, price, term];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR47;CONJUNCTIVE_CONTRACT;Test-03;11;2;10;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[];[headsets, selectedTypes, tag, term];[];[];[feature, input, language, numberOfPlayers, playArea, vrSupport];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR28;CONJUNCTIVE_CONTRACT;Test-02;8;2;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[];[input, numberOfPlayers, playArea, selectedTypes, tag];[];[];[os];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR330;CONJUNCTIVE_CONTRACT;Test-15;8;4;6;[term, sortBy, specialOffers, numberOfPlayers, feature, vrSupport, input, playArea];[];[input, playArea, vrSupport];[];[];[feature];[];[];[term];[];[];[numberOfPlayers];[];[];[];[];[];[];[]
MR255;CONJUNCTIVE_CONTRACT;Test-12;9;3;7;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[];[feature, numberOfPlayers, os, price, tag];[];[];[vrSupport];[];[];[selectedTypes];[];[];[];[];[];[];[];[];[];[]
MR320;SHUFFLING_EXTEND;Test-14;9;4;4;[term, sortBy:relevance, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[];[];[sortBy:releaseDate];[];[];[sortBy:name];[];[];[sortBy:lowestPrice];[];[];[sortBy:highestPrice];[];[];[];[];[];[]
MR371;CONJUNCTIVE_CONTRACT;Test-17;6;3;5;[term, specialOffers, feature, vrSupport, os, language];[];[language];[];[];[feature, term];[];[];[os, vrSupport];[];[];[];[];[];[];[];[];[];[]
MR200;SHUFFLING_CONTRACT;Test-09;9;1;1;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[];[sortBy];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR48;CONJUNCTIVE_CONTRACT;Test-03;11;4;10;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[];[feature, input, language, numberOfPlayers, playArea, selectedTypes];[];[];[term, vrSupport];[];[];[headsets];[];[];[tag];[];[];[];[];[];[];[]
